drugName,condition,review,rating,usefulCount
Daliresp,"COPD, Maintenance","""I seem to have lost my tasting abilities for foods.""",10.0,23
Bupropion,Depression,"""Taken all types of anti depressants. None worked until a friend mentioned Wellbutrin. Started off on 150mg SR generic brand. Anxiety increased, smoking decreased, sex drive moderate, no change in weight or additional side effects. After two yes doctor finally prescribed 24 hr Wellburtin. Taking name brand. Day 2 &amp; WOWWWWW. Im feeling fabulous. I have Valium in case for emergency anxiety attacks. But I honestly believe this is a winner""",9.0,85
Magnesium citrate,Constipation,"""I had a very bad case of hemorrhoids, when it was to the point I couldn&#039;t use the bathroom even I tried all I wanted to do was cry because it was so painful when it would pass. So one day I was so backed up I just couldn&#039;t take anymore, I couldn&#039;t stand it was to the point I could barley pee. So I decided to try the cherry magnesium drink to help me pass a stool, and Yes it did WORK!! I didn&#039;t feel no pain only time I did was when I did have to push. But other than that the drink does help don&#039;t like lime prefer cherry.  this drink does help""",10.0,22
Amitriptyline,ibromyalgia,"""I have had great success with this medicine.  It is meant to help you achieve sleep levels 3 and 4. It is meant to make you drowsy. Take it at night a couple of hours before you want to fall asleep. Poor sleep is a big problem with fibromyalgia. I have had fibro for 20 years. I still work full time, retail 56 hours a week. Yea it&#039;s tough some days. You have to keep moving.""",9.0,90
Contrave,Obesity,"""Been on wellbutrin and Naltrexone for 2 weeks. My Dr. prescribed the medication separatley cause it&#039;s cheaper. Quit smoking and no cravings for alcohol. Headaches and Nausea no major weight loss I will continue the 2 and hope the side effects go away.""",6.0,10
Tacrolimus,Atopic Dermatitis,"""I used other medications prescribed by 2 dermatologists and my family doc for rosacea for about 7 years with only minor efficacy. (Onraltea does hide it though) A &#039;senior&#039; dermatologist diagnosed the problem as exzema and prescribed Protopic 0.1%. I used it as prescribed for 5 or 6 months and it seemed to be controlling the redness. I stopped applying it for a few weeks while having facial laser treatments. When I next applied Protopic one week ago, my skin burned, swelled and became extremely dry and flaky. The burn/swelling problem continues and is being treated. Full disclosure: I had the same experience with the rosacea medication Rosiver.""",1.0,2
Methadone,Opiate Withdrawal,"""I was very afraid to try methadone to detox from opiates at first but thank God I went ahead and did. I love waking up, taking a dose, and spending the rest of my day doing positive things. No more cravings for oxy&#039;s, spending every penny I had looking all day for yet another pill. I feel like there is hope now. If you are living the life of a pill addict, methadone may be for you to.""",8.0,131
Necon 1 / 35,Birth Control,"""I was on this birth control for 8-9 years! My period would come like clock work, every Tuesday of the 4th week around 9-10am. Really no side effects. Unfortunately, my body got used to this pill causing me to start to spot in between periods and my spotting/period would last for days. I have been looking for a birth control for the last YEAR that has had the same positive effect on my body as Necon did for so long.""",8.0,0
Zovia,Birth Control,"""I started this birth control pill 12 days ago. I&#039;m 18 years old and take it for bad cramps and excessive bleeding. Ever since I started it I&#039;ve had extremely debilitating nausea, anxiety, and loss of appetite. I stopped taking it yesterday in hopes of the terrible nausea ending. The nausea spread from my shoulders to the bottom of my sternum. I had anxiety attacks for no reason. I would not recommend this medication.""",8.0,1
Linaclotide,Irritable Bowel Syndrome,"""It worked from the first day but I also had at least one episode a day of severe D 
I used it for 22 days and then called the manufacurer for some input
The said D was the usual complaint  when there was a complaint and they had no recommendations except to speak to my  doctor
I decided to try it every other day and have done that only for the last 4 days
There is a slight improvement. Very slight in the D attacks
I will do this for the next 3 weeks (using it every other day )  and then see what point I am at.
I no longer get these terrible painful IBS C attacks where I thought I was going to die from the pain.  No more blood in the John.  
The doctor told me to take the Lizness with Colace and Senna but I was afraid to do that.""",8.0,24
Belviq,Weight Loss,"""Started taking May 5, 2015 with pm pill first.. Slight headache ( but not enough for me to take anything for it), stool softer (sorry want to be honest), and dry mouth for first two days only. Today is May 9 and down 4pds...remaining side effects just dry mouth!!!!..but I can live with that we all need to drink lots of water anyways . 
42 year old female started 217 pounds, 5.8&quot;""",10.0,33
Etonogestrel,Birth Control,"""I got the nexplanon implant put in one June 6. I bled non stop. There were days it was heavy then it went to light. Other days it was barely spotting so I never knew when I would need a pad because one day I was barely spotting and the next it went back to a regular flow period. It was very irritating. I was lucky enough to get a few days of being period free but I never knew when those days were expected. It was like getting double the protection considering no one wants to have sex while having a period. I had it for a year before getting it taken out. I give it 5 stars for preotection cause I never got pregnant in the full year I had it no matter how many times I had sex on my period free days. But it wasn&#039;t worth the bleeding everyday.""",5.0,6
Saccharomyces boulardii lyo,Diarrhea,"""I had to take this after I got C-Diff from all of the antibiotics the doctors had me on.  It worked great.  I  am a nurse and have known several people that have been put on this after getting C-Diff and they have been very pleased with the results also.  My wife has started to take it because she has many stomach problems and it is helping her.""",9.0,183
Sulfasalazine,Rheumatoid Arthritis,"""I&#039;m a late 50s male recently diagnosed with RA. Thus far, it has not worked at all for me (have &quot;ramped up&quot; over the past two months). To be fair, I was told it could take months before it &quot;kicked in.&quot; 

I&#039;m fairly miserable every day - hands, feet, and jaw, alternating or at the same time.  Had no idea how nasty RA is until getting first-hand experience. 

Fatigue is an issue for me as well, RA or the sulfasalazine?  This has been tough as I have always been very active.""",3.0,17
Duloxetine,ibromyalgia,"""I felt less pain but the side effects were NOT worth it. I ended up becoming very depressed and apathetic and slept for 12+ hours a day, missed work, didn&#039;t clean or eat. I was taken off after I crashed my car.""",1.0,54
Saxenda,Obesity,"""Extremely disappointed.
Can&#039;t keep food down but gained 5lbs""",2.0,6
Cariprazine,Bipolar Disorde,"""I started this medication 3 days ago and I never get side effects for medication ever.  This medication messed me up. From the first day I started getting headaches, nausea, diarrhea, and vomiting multiple times a day, I completely loss my appetite and the weird side effect I got is hiccups. I literally get hiccups 8-10 times a day. I&#039;m stopping this medication cause it&#039;s not worth feeling like poop all day.""",1.0,26
Symbicort,"Asthma, Maintenance","""I knew within 1 hour my breathing felt less constricted. After 2-3 days there was a marked decrease in mucous production and best of all after 1 week I was able to climb an entire flight of stairs without resting. Great results""",10.0,53
Leuprolide,Uterine Fibroids,"""I just received my 2nd shot of 3.75 Lupron and so far so good! I have heard horror stories not only on line, but from my friends who have been on it for various reasons and I was more than worried to start it. I have one large fibroid and I was put on Lupron injections to shrink it to make it easier for my husband and I to have a baby after I have a robotic myomectomy in June. I was so afraid of mood swings, but surprisingly, after 5 weeks I am still very happy. My bloating has gone away for the most part and I am really looking forward to not bleeding the way I did due to this fibroid! All in all, I am posting on here so that woman like myself, a 35 year old wanting a baby will know that not all Lupron horror stories will happen to you!""",7.0,164
Etonogestrel,Birth Control,"""I had my Implanon inserted in November 2 years ago. I have been waiting and waiting, thinking my body would get used to this. It hasn&#039;t at all. Before the Implanon, I was on Yaz. I had no acne, very light periods lasting 3-4 days, no weight gain, no mood swings, nothing. I just had a big problem with remembering to take the pill. So I decided to switch to Implanon since I wouldn&#039;t have to remember anything. I now have horrible acne, I have gained about 15 pounds, I have bad mood swings and my periods are absolutely terrible. I will have heavy bleeding for about a week, then light bleeding for another week, and then spotting for another week. I&#039;ll be off for about 2 weeks, then start the whole cycle over again.""",3.0,0
Dulcolax,Constipation,"""I took this a year ago BEFORE bedtime like the instructions tell you, I woke up in the morning with successful bad cramps in my lower stomach, I got up to go the bathroom luckily my husband followed me thinking it was strange &amp; the pain was that painful I fainted.
Yesterday I was super bloated I had so much gas for hours no idea why &amp; had been toilet few times in the day, then before bed I decided to take 1 tablet to help shift more gas in the night. Woke up at 6am felt fine then about 8am the pains came not as painful as last time but they weren&#039;t as bad I would past wind &amp; then suddenly I had to run to the toilet &amp; sit there with the pain like as if everything was moving around the intestines &amp; then it was like sand. It worked but hurts.""",9.0,2
Levonorgestrel,Emergency Contraception,"""I guess I&#039;m the 1%. I&#039;m pregnant after taking it the day after.""",1.0,3
OnabotulinumtoxinA,Migraine Prevention,"""I&#039;ve had migraines for 26  years. I&#039;ve tried every migraine medication with no success. They either didn&#039;t work or the side effects were intolerable. This migraine has lasted 1 year. I received Botox injections and woke up the next morning with no pain. Finally relief with relatively little side effects. I would recommend this to anyone who has minimal relief from typical migraine medications.""",10.0,91
Cariprazine,Schizophrenia,"""I have schizoaffective and have been on this medicine almost 1 month.This medicine has really helped with voices (After about 2 weeks) and hallucinations.It has also helped my motivation and mood. I too have had to use my klonopin very infrequently while on Vraylar. I have tried almost all the antipsychotics and all have made me gain weight. This one I am actually losing about 1 pound a week with eating a healthy diet and exercising. I&#039;m glad I continued to look for the right medicine because I have been without and I know how that ends up. It is really expensive but you can ask for samples then if it works for you, they do have a card that makes it 15.00 per month. Good luck.""",8.0,43
Treximet,Migraine,"""This is the only medication that has worked for me. I have taken it on three occasions and it has gotten rid of my headache within 40 minutes. It&#039;s amazing.  The only side effect I&#039;ve had is a slight feeling of heartburn.  """,10.0,11
Nexafed Nasal Decongestant,Nasal Congestion,"""I don&#039;t write reviews normally, but I wondered if others had the same experience that I did. 
I had to buy this because my local pharmacy here in WV stopped carrying everything but this. It cost me nearly $8, and I may as well have not taken anything. In fact, my pharmacist, who knows my severe sinus issues was very apologetic and told me the stuff didn&#039;t work very well, but that&#039;s all that they were allowed to sell.
I&#039;m a retired high school science teacher, and I really have to wonder about this product. If meth users can&#039;t &quot;cook&quot; out the suphedrine due to a binding agent, then how is it supposed to effectively breakdown in my system? 
Shame on you, pharmacy companies for punishing those of us who use a product made for us correctly.""",2.0,7
Sprintec,Birth Control,"""I started Sprintec last November for my heavy periods, and for that it&#039;s working great. It has reduced my periods from 10 days to 5 days and after the first few months, they are now incredibly predictable. I know exactly when they&#039;ll start and end and what flow intensity to expect each day. They have also considerably lightened my periods. The only side effect I have noticed is weight gain. It may not have helped that I started the pill around the holidays, as I have found myself with a bigger appetite since starting Sprintec. I gained about 10lbs by about January (but I haven&#039;t gained since then due to changes in diet) and went up about 1.5-2 cup sizes (SO annoying since I&#039;m an athlete). My butt and thighs also got noticeably bigger.""",8.0,28
Tri-Sprintec,Birth Control,"""I had no complications with this birth control other than minor nausea in the mornings. If I missed one and took it too close to another one in the same day, I would be throwing up. I probably needed a lower dosage. I did quit for other personal reasons about 2 months ago and have had anxiety. I&#039;ve been fearful, scared, depressed, and feeling really weird and its not me! I feel I can&#039;t control it and really believe it to be the birth control since my hormones are unbalanced now. I&#039;ve read from other woman that it gets better after a few months and I so hope that is true. I&#039;m debating if I want to go back on it to regulate my hormones and period, because since its been some time, I don&#039;t want to get sick.""",8.0,7
Sildenafil,Erectile Dysfunction,"""Bad headache. Kinda tough to get the dose timing right so she&#039;s &quot;in the mood&quot; for the 4 hours that its working.""",5.0,46
Buprenorphine,Chronic Pain,"""&quot;I was recently placed on this medication for chronic pain due to a cyst on my lower spine. All the comments are true. Medication packet you will need scissors, wet buccal area of mouth and doesn&#039;t adhere as directed, doesn&#039;t dissolve, sticks to teeth, end up swallowing it. As for the pain, it remains. Very expensive with no rx coverage for Belbuca. Phone number on the card and brochure from my doctor, inaccurate, and one month free trial and reduced rate doesn&#039;t apply to me. Tried to get renewal from office but they are strict on pickup dates for Rx&#039;s, claimed I didn&#039;t call for renewal and once I was halfway home oh here it is. The pharmacy did not even carry it. I had to go back. So what do I do? I had most of side effects and withdrawal.""",1.0,18
Tri-Previfem,Birth Control,"""I am on day 3 of this pill and I felt awful the whole time. I constantly feel like I&#039;m going to throw up after I take it which makes it difficult for me to sleep. I already have some anxiety but this birth control is making it to where I can&#039;t sleep and once I do sleep I can&#039;t stay asleep. I just lay in bed feeling hot, nauseous, and like I&#039;m going to die. My anxiety is just getting so bad I will probably stop taking this medication.""",1.0,3
Imuran,"Crohn's Disease, Acute","""Did not help much with my Crohn&#039;s, but less side effects than others.""",2.0,6
Cymbalta,Depression,"""I had been suffering from depression, suicidal thoughts &amp; tendencies anxiety and nerve damage. I went to a doctor who prescribed me cymbalta and I started on 30 mg. I was on it for about 1 week and I noticed I wasnt eating. I would have to tell myself to eat because I could go a whole day without eating anything. I noticed I did feel a little bit better in my ways but it wasnt enough to keep me motivated to do anything. So the second week I was put on 60 mg. I can say I have never been this motivated ever with school work going out with friends trying new things and actually participating in school. Im 4 weeks in now &amp; ive never been better. Downsides: restlessness waking from sleep jitters and waves of feeling hyper.""",8.0,53
Sulfamethoxazole / trimethoprim,Urinary Tract Infection,"""I have been suffering with a UTI for at least a month and a half, I have been prescribed nitrofurantonin and Cipro 2 times...with those drugs I had still had the urge to urinate and immediately when I stopped those two antibiotics the symptoms came right back. Doctors were getting ready to send me to a urologist until I mentioned bactrim. After one dose of the antibiotic I was feeling 80% better. I haven&#039;t had any side effects yet and its day 2...These drug is God sent!""",10.0,20
Desogestrel / ethinyl estradiol,Birth Control,"""I&#039;m on my second month of Apri, and honestly haven&#039;t experienced any side effects. My biggest concern was the whole blood clot issue, but my doctor says I&#039;m low risk and healthy, so I need not worry. Only down fall, is you will be moody. Since I read reviews before hand, I&#039;m in total control of my mood swings since I know its the birth control making me agitated. Weight gain? None. Boobs? Sometimes they&#039;re really tender and heavy feeling. Once I get in the sugar pull week those feelings subside. Overall, Apri has been good to me.""",10.0,3
Wellbutrin,Depression,"""I liked Wellbutrin for the 3 weeks I was on it.  I felt good, energetic, happy, and could finally organize my life, wasn&#039;t feeling overwhelmed by everything.  Unfortunately, broke out in terrible hives all over, and my psychiatrist says that is a reaction to the medicine.  """,8.0,20
BuSpar,Anxiety,"""I found this medicine helped a lot with my anxiety in many ways but did not help my desire for sex that I suffer from by the other medications I am on for depression. But like in any medication you have to chose what is most important to you and my anxiety was out of control prior to taking Buspar.""",6.0,23
Pregabalin,ibromyalgia,"""The pain from Fibromyalgia comes as MUSCLE cramping, tingling, twitching, spasms, etc. It is not a &quot;nerve&quot; illness per se, yet doctors think people are stupid and prescribe this anyway. It does nothing for the pain or fatigue from Fibromyalgia or Chronic Fatigue/M.E. Until people realize that legitimate users of meds such as Hydrocodone, morphine ER, etc are rarely abused by people in genuine chronic pain, doctors will continue to jeopardize patients lives by giving them meds like this as a placebo with nasty side effects. One doctor also put me on Paxil which gave me Serotonin Syndrome and I was in Intensive care for a week! This was when SSRI&#039;s first came out and I went into med journals.  Avoid this for chronic MUSCLE  pain.""",1.0,48
Nortriptyline,Neuralgia,"""Started taking nortriptyline in 2004 for neuropathic pain, primarily in my legs.  Tried Cymbalta when it came out in 2006 since it stated helpful with neuropathic pain.  It didn&#039;t work; the hives, itching, tingling, and burning all returned.  Back on the nortriptyline; my doctor allows me to vary my dosage from 50-80 mg depending on how my neuropathy is doing.  Very noticable difference when I lower it; thinking I could get by with less because feeling better.  80mg seems to work very well for me.""",9.0,31
Clonazepam,Insomnia,"""Klonopin is the only medication that works for my insomnia.  I&#039;ve been on pretty much every medicine for insomnia at one point or another.  I have OCD and the reason I can&#039;t sleep is because the obsessive thoughts won&#039;t stop ruminating in my head.  When I take Klonopin, the thoughts are no longer intrusive.""",10.0,99
Metformin / sitagliptin,"Diabetes, Type 2","""Increased depression causing extreme irritability, excessive muscular spasms with cramps in lower limbs.""",3.0,7
Tramadol,Pain,"""I have a pinched nerve in my pelvis and for about a month I couldn&#039;t sit on the couch or a stool or even lay down in bed without severe pain in my lower back and even into my leg. My doctor put me on the tramadol and for the first time in over a month I was able to sleep with no pain. My only complaint is that it makes me feel incredibly itchy, I got great sleep, but I do remember rubbing and itching my face all night.""",10.0,8
Ethinyl estradiol / norethindrone,Birth Control,"""I have been on the pill for six years now and never experienced any problems up until I switched to this one. I have been on it for about two years and the first six months were great; I never had periods, no acne, slight moodiness but that seemed pretty normal. And for the last year and half I have had horrible acne, I have been very moody, and irregularity in my periods. I loved it at first, but it&#039;s like it suddenly took a nasty turn. But every woman&#039;s anatomy is different and I recommend asking a professional about different types of birth control.""",8.0,0
Meloxicam,Rheumatoid Arthritis,"""Took Mobic after 2 days had to go to the ER,had bad rash, eye &amp; face swelling.really terrible drug for me.""",1.0,21
Clindamycin,Acne,"""I love love love this product. It is truly the only thing that has worked for my acne. I am lucky and haven&#039;t experienced any side effects. I know that every body is different but I recommend trying it.""",10.0,60
Liraglutide,Obesity,"""I am 5&#039;4&quot; and started at 253. I stared Saxenda this past Tuesday. Still at the 0.6mg dose and this morning down to 246. Now i know darn well that that is probably a combo of water weight and just not. being. hungry.! I&#039;ve had a little nausea but that seems to go away by mid morning. Overall, i feel pretty good and whatever the action on the brain that this stuff is, I like it. I don&#039;t feel hungry and i have energy. Since i am seeing some reasonable results, I am not getting discouraged! I paid for this out of pocket for the first month, just to see if it would work. If you can get past the price tag (which is rather obscene and the only reason I did not rate a 10) this is definitely worth a try.""",9.0,34
Celecoxib,Pain,"""I commenced Celebrex 100mgs twice a day following shoulder surgery. Aided freer movement but causing increased restlessness and reflux.""",8.0,41
Medroxyprogesterone,Birth Control,"""I&#039;m just about to hit the 2 year mark on the shot. I get my shot regularly and never skip an appointment. I rarely see people talk about being on the shot for more than a few months. I chose this to help regulate my period and for birth control. I had awful, heavy periods before this. When I first started my period lessened and after the first year completely stopped. The only &quot;con&quot; is that I have gained weight since I started taking this. I&#039;m wouldn&#039;t exactly blame this for it though, and so what if it&#039;s a few pounds. I would HIGHLY recommend this to anyone who wants better control over their periods, and don&#039;t want to worry about pills or something being put inside them.""",10.0,5
Benzoyl peroxide / clindamycin,Acne,"""I was breaking out badly on the sides of my cheeks, then I couldn&#039;t take it anymore so I went to the dermo and they prescribed me Acanya. After 2 weeks I noticed a difference for sure. The big cysts I would get or just all these pimples I got in 1 spot started fading away instantly. It is take time, I had to pop some and then put the cream on. It&#039;s been 3 months so far and no breakouts or acne whatsoever. I just use cetaphil and that medication and done. (:""",10.0,5
Brexpiprazole,Major Depressive Disorde,"""I started this drug about 4 weeks ago. Since I started it I have been vomiting and having diarrhea constantly. I am also more agitated and annoyed than usual, and I have been manic several times (I&#039;m actually taking it for bipolar II, not MDD). It doesn&#039;t work as well as risperdal for controlling my mood and I can&#039;t keep anything down, but my psychiatrist thinks that&#039;s my birth control so I don&#039;t know that he&#039;ll be willing to switch me to another med. my mood swings have been a lot worse on this than on the risperdal which I wish I could have stayed on but it was messing with my prolactin levels. I almost killed myself 2 days ago and about 6 days ago I was extremely manic and spent $400 within a couple days. do not recommend for bp II.""",5.0,23
Belsomra,Insomnia,"""Wow a 2.5 mg pill so half a 5mg tablet worked amazingly.  I can&#039;t believe how well it worked!""",9.0,13
Ethinyl estradiol / norgestimate,Acne,"""Do not ever take this. I&#039;m serious. I strongly advise you not to. My doctor lied to my face and said this wasn&#039;t causing my problems but right when I came off poof they went away..I&#039;m telling you I had the worst anxiety and panick attacks continously for days when I got to the fourth month of taking this it literally ran my body and mind down to the ground..worst thing ever..do not take thisss!!!it literally made me feel like I was going insane not to mention the depression and all other side effects with it that I never really noticed till I put the pieces together. to """,1.0,3
Copper,Birth Control,"""I&#039;ve been on Paragard for 2 years and I have to say that it&#039;s great. At first it was tough because I have a low pain tolerance and insertion was hard for me. The cramping was extreme but I can honestly say that it was worth it. All I can say for women who are thinking about trying it is that the periods will be longer and a lot heavier than before. Also, The pain of the cramping will be a little more intense for 6 months afterwards. Stock up on Extra Strength Ibruphen and you&#039;ll be fine. The peace of mind is worth the cramping.""",9.0,26
Nexplanon,Birth Control,"""I got my Nexplanon on 04/21/2016 and haven&#039;t stopped bleeding since. Luckily it&#039;s not heavy bleeding it&#039;s light, but the downside is it makes my blood smell bad I know TMI but I just want to put that out there for those considering this form of birth control. I used to have a head full of hair but since I&#039;ve been on the Nexplanon I&#039;ve noticed that I&#039;ve been losing so much hair to the point that when I put my hair in a ponytail you can see the side of my scalp a little. I haven&#039;t had mood swings, weight gain or a decrease in sex drive. Just the bleeding a hair loss have been my major issues. Having it taken out 06/24/2016, I don&#039;t think I can handle anymore of this!""",2.0,3
Asenapine,Bipolar Disorde,"""I have been taking Saphris for 10 days. I went cold turkey off Seroquel 600mg/day. I have had terrible insomnia. My psych said this should improve over next few weeks, I hope so. Agreed that it tastes awful and numbness under tongue only lasts approx half an hour. My mood improved the next day after my first 5mg dose. I feel so happy and enthusiastic about life, which is amazing. The Seroquel fog has lifted and I have lost 3.5kgs in 7 days (Seroquel munchies are gone).""",9.0,40
Losartan,High Blood Pressure,"""My Dr. switched me from Diovan HCT to Losartan because of costs.  Losartan has worked well for keeping blood pressure steady.  In addidtion, I have Type 2 Diabetes and take Cialis 5mg daily.  Interestingly, Losartan has greatly helped with erections, as well.  In doing further investigation,  I have discovered that other men have had similar experiences.  While not meant to be a medicine for erectile dysfunction, it has greatly helped men, especially when used in combination with Cialis.""",10.0,100
Fluticasone / vilanterol,"Asthma, Maintenance","""I was put on two meds at the same time, so I had a difficult time deciding which drug was messing with me.  ie -- inflammation so bad that it created facial hot break outs on my face, lips.  I experienced increase in heart rate and shakes.  I went off Breo on the 5th of June and stayed on my other drug for diabetics..  Everything settled down and my normal self returned.  This morning I decide to reintroduce my Breo to find it definitely is the culprit.  Immediate hot flashes, shakes and increased heart rate.  I love how it works, but hate what it does for me.  Please take time to truly decipher which drug it is if you&#039;re on multiples.""",1.0,10
Linzess,Irritable Bowel Syndrome,"""Physicians are way too excited about Linzess.  It definitely does not work for everyone and not exactly as indicated.  The first three days I took it were fine.  Then no effect for two days.  Then incredible pain.  I asked the doctor if I could try a lower dose.  Was advised to take it at bedtime!?  Definitely not a good idea when part of the problem was extreme diarrhea.  Quit taking it for two weeks.  Went back and tried one tablet.  Dizziness, wobbly, weakness, malaise.  

Does it treat constipation, yes.  But it is a guanylate cyclase agonist , so, of course, it has systemic effects.  

When are too many side effects too much to even put a drug on the market?""",3.0,27
Saxenda,Obesity,"""I&#039;m a 27 year old female and I&#039;ve benn taking Saxenda for two months now. At the beginning the weight loss was rapid, but there were severe side effects. Mainly nausea and constipation, but also dry mouth and tiredness. Now it&#039;s all gone though. You should know- it&#039;s not a wonder drug. True- I&#039;ve lost 24 lbs (11kg) in 2 months, but I really pay attention to what I eat and go to the gym 3 times a week. You still need to do the work. What Saxenda does: now your work will finally have results. Which makes it much easier to keep going. By the way I&#039;m only using the 1.8 because my doctor told me to try to avoid using 3 dosage until I really need it. When you reach the &quot;plateau phase&quot; and stop losing weight that&#039;s the time to increase the dosage""",8.0,21
Levothyroxine,Underactive Thyroid,"""I recently took levothyroxine for 3 days as I am newly diagnosed hypothyroid. This medication made me shaky and irritable as well as having insomnia. I&#039;ve seen here that that the non generic form may be better, I will try that.""",1.0,20
Concerta,ADHD,"""I&#039;m 18 years old and have been on 18mg of Concerta for just under a year now. In the beginning I loved it - was able to focus and was very productive with everything. Positives: my grades and work ethic excelled, accomplished a lot, confidence raised. But, it may have just been me, but after being on Concerta I became very antisocial (the complete opposite of myself) and basically got lost in my head. I also suffer from depression and severe seasonal effective disorder and my first winter taking the Concerta was a horrible experience. The important thing to remember with this medicine is that it is not what is making you &quot;smarter&quot; or more accomplished, it is merely helping you to do these things without your ADHD holding you back.""",8.0,65
Acetaminophen / hydrocodone,Rheumatoid Arthritis,"""The only thing finally found without too much acetaminophen that doesn&#039;t upset stomach and helps the pain.""",8.0,45
Skyla,Birth Control,"""I&#039;m 18, and not sexually active. My mom recommended it just in case I was to need it, and I got the Skyla inserted today. After reading all the reviews on here I was scared to death. I went in and they did a normal pelvic exam, and then started.  The insertion was NOT as bad as all of the comments. There was a lot of pressure, and 1 small pinch, from the clamp they use to keep your cervix open. The only painful part for me was trying to open the cervix. They had to take several tries to get up there. The pain is like a severe period cramp. That&#039;s all. It wasn&#039;t the worst pain ever for me, very bearable! It&#039;s been about 6 hours since the insertion and I have no cramps, and a small amount of sporting. It wasn&#039;t bad at all!""",10.0,8
Dulaglutide,"Diabetes, Type 2","""Third week on Trulicity and I feel great. Nausea is gone. Only lasted maybe four days from the first injection.  Testing my blood sugar and this morning it was at 85 down from the 150-160s I was used to seeing. Anxious to see what my A1C will be in April. Have also lost some weight. Do occasionally get heart burn. Trulicity makes me watch closer to what I&#039;m actually eating and not just eating like I was before.""",8.0,25
Contrave,Weight Loss,"""I have been on Contrave for 1 month and have not lost an ounce. I am taking it two times a day. It is not curbing my appetite at all. I am active and walk at least 4 or more miles a day and do extensive yard work in the FL heat.
Any ideas?""",1.0,7
Topamax,Obesity,"""First started topamax in 2013 lost 30 lbs on 75mg in 3 mos topamax 25 mg 3 x a day w/30 mg prozac once a da.  Weight went from  278 to 248.  I am 65 year old female obese all my life.  Had experimental  Lap band surgery in 1979. Gained all weight back.  Tried everything and gained back all weight every time.  Can&#039;t take diet pills make me too jittery.  After three years stopped topamax because of minor memory loss which I thought was embarrassing.  Stayed on Prozac 30mg and gained all weight back and more up to 291. Now I am really depressed.  Came off Prozac and am back on topamax 25 mg in morning and 25 mg at night only.  Have lost 3 lbs in one week.  So happy.  Would rather walk and feel better physically than remember someones name,""",8.0,104
Blisovi Fe 1 / 20,Birth Control,"""Horrible. First pill and it&#039;s the worst. Getting switched right away. Lots of nausea and stomach/upper abdominal discomfort and bloating. Does anyone have any better recommendations for BCP, like organic ones?""",1.0,1
Prozac,Depression,"""I&#039;m fifteen, and I started taking Prozac at 13. For a year it really helped, but within the last year, my depression has come back along with cutting. However, I also had extreme OCD, which Prozac helped 100%.""",6.0,14
Paroxetine,Anxiety,"""Paxil works great for me but it took 3 months for it to work. That&#039;s not surprising however my body has always taken a long time to get used to/accept drugs. My start up side effects were extreme fatigue, excessive yawning, derealization, depersonalization, depression and apathy(apathy and depression could&#039;ve been a result for the anxiety and not the paxil) . One day while at work it just hit me and I started feeling better happier but not 100%. I&#039;m currently at 30mg which seems to work fine. The only bad thing about being on Paxil for me is the sexual side effects(it is really hard to climax! uhg) Otherwise, I feel fine. In fact, I even have vivid dreams, which for me is nice, and more energy.""",8.0,38
Neurontin,Anxiety,"""Neurontin has changed my life dramatically. I suffered from high anxiety with panic and anxiety attacks. I started this medicine at about 19 and had been off and on it the past 13 years. It literally has made me a new person. When I don&#039;t use it I notice a lot of fatigue, worry, anxiety, etc. When I am using this medication, I can concentrate on the better side of things and am not so negative. In the beginning it did have some side effects such as a &quot;loopy&quot; feeling. Over time that did pass, and now gives me energy to get through the day. I am on 300mg 3 x day. I can also sleep much easier, and my carpal tunnel syndrome is dramatically better. Before I felt very snappy and impatient, now I handle things with a much more calm disposition. Love it.""",10.0,500
Lutera,Birth Control,"""One week. Still top notch shape. Luckily, my peripd ended a day earlier thsn my usual 5 day period.  Of course all medicines require side effects.dont feel extra moody or anything. My only concern is dry eyes so far when wearing my contacts, which will hopefully will subside before next month where i will be taking my yoga teacher intensive training. Definitely dramatically proved to subside much of my hormonal imbalance symptoms. I am 4&quot;11 and 100 lbs.. 28 years old. Healthy, active and finally seeing my acne under control in one week!""",9.0,7
Requip,Restless Legs Syndrome,"""It works but it&#039;s based on what is in your stomach. If I&#039;m stuffed and ate to much before bed, which can be hours before bed I need 3 mg. Some what full 2mg and if I ate small meals and I take it 2 hours before bed 1mg. Now if I take 1 or 2 mg on an empty stomach I might feel sick. I have gotten home before after work and very hungry and ordered pizza. Took 1 or 2 mg before ordering and felt sick before the pizza even got here. So I the mg&#039;s need is based on what&#039;s in your stomach. It works great but you can&#039;t get take what the Doctor says like 2mg&#039;s before bed because it changes.  Have the Doctor give you 90 tablets at 1mg and write take 1-3 per night as needed. We&#039;ll see if that helps and I feel your pain.""",8.0,31
Paroxetine,Obsessive Compulsive Disorde,"""First of all, I never realized that I had OCD until I told my doctor I couldn&#039;t sleep because I couldn&#039;t control my thoughts. I thought OCD only manifested itself in physical rituals. Paxil has literally saved my life. It broke a 14 year cycle of racing, uncontrollable thoughts/insomnia/anxiety/depression. I have been taking Paxil for 15 years now.""",10.0,113
