drugName,condition,n_reviews,avg_rating,sentiment_score,total_useful
Penicillin v potassium,Bacterial Infection,6,7.17,0.7547,105
Cleocin,Bacterial Infection,7,5.86,0.7121,316
Flagyl,Bacterial Infection,96,6.85,0.6862,1889
Cephalexin,Bacterial Infection,59,6.44,0.656,1641
Amoxicillin,Bacterial Infection,39,6.85,0.6525,1014
Cipro,Bacterial Infection,11,6.09,0.6335,264
Doxycycline,Bacterial Infection,69,5.8,0.614,2626
Metronidazole,Bacterial Infection,270,6.24,0.6133,3416
Ciprofloxacin,Bacterial Infection,29,6.14,0.5965,567
Clindamycin,Bacterial Infection,275,5.71,0.5874,7015
Azithromycin,Bacterial Infection,28,6.04,0.5833,135
Avelox,Bacterial Infection,19,6.21,0.5607,235
Moxifloxacin,Bacterial Infection,23,5.7,0.5538,237
Levofloxacin,Bacterial Infection,34,5.26,0.5163,563
Levaquin,Bacterial Infection,20,5.45,0.4895,426
Sulfamethoxazole / trimethoprim,Bacterial Infection,43,4.37,0.4787,528
Augmentin,Bacterial Infection,32,4.94,0.4585,738
Bactrim DS,Bacterial Infection,12,4.5,0.4547,180
Bactrim,Bacterial Infection,18,4.22,0.449,260
Amoxicillin / clavulanate,Bacterial Infection,71,4.48,0.4317,1128
Bactrim,Bacterial Skin Infection,45,6.96,0.7172,2255
Sulfamethoxazole / trimethoprim,Bacterial Skin Infection,106,5.84,0.5966,3109
Bactrim DS,Bacterial Skin Infection,24,4.79,0.5039,536
Flagyl ER,Bacterial Vaginitis,6,6.67,0.8723,127
Clindamycin,Bacterial Vaginitis,51,6.73,0.7422,826
Tinidazole,Bacterial Vaginitis,42,7.6,0.7363,594
MetroGel-Vaginal,Bacterial Vaginitis,24,6.38,0.7148,812
Metronidazole,Bacterial Vaginitis,523,7.16,0.6979,6211
Tindamax,Bacterial Vaginitis,13,6.31,0.6182,246
Clindesse,Bacterial Vaginitis,7,6.71,0.6072,90
Dexilant,Barrett's Esophagus,12,8.92,0.9132,381
Dexlansoprazole,Barrett's Esophagus,17,8.65,0.894,445
Kapidex,Barrett's Esophagus,5,8.0,0.848,64
Pantoprazole,Barrett's Esophagus,7,8.57,0.7815,310
Esomeprazole,Barrett's Esophagus,15,8.73,0.7669,497
Omeprazole,Barrett's Esophagus,8,9.75,0.755,143
Nexium,Barrett's Esophagus,14,8.64,0.7504,489
Fluorouracil,Basal Cell Carcinoma,14,7.57,0.6527,582
Imiquimod,Basal Cell Carcinoma,40,7.35,0.6296,1102
Aldara,Basal Cell Carcinoma,11,6.91,0.5575,446
Efudex,Basal Cell Carcinoma,5,6.6,0.5371,237
Propranolol,Benign Essential Trem,39,7.56,0.737,1786
Inderal,Benign Essential Trem,12,7.25,0.721,777
Gabapentin,Benign Essential Trem,9,6.89,0.6778,292
Primidone,Benign Essential Trem,42,5.45,0.6402,1684
Tadalafil,Benign Prostatic Hyperplasia,52,7.98,0.854,3712
Cialis,Benign Prostatic Hyperplasia,47,7.81,0.8411,3688
Saw palmetto,Benign Prostatic Hyperplasia,6,6.33,0.7956,178
Dutasteride,Benign Prostatic Hyperplasia,26,7.54,0.7412,1993
Avodart,Benign Prostatic Hyperplasia,24,7.46,0.731,1978
Terazosin,Benign Prostatic Hyperplasia,20,7.3,0.7092,604
Doxazosin,Benign Prostatic Hyperplasia,18,7.67,0.705,746
Rapaflo,Benign Prostatic Hyperplasia,78,6.21,0.6952,3432
Silodosin,Benign Prostatic Hyperplasia,89,6.03,0.6762,3451
Hytrin,Benign Prostatic Hyperplasia,11,6.91,0.67,414
Tamsulosin,Benign Prostatic Hyperplasia,136,5.6,0.6335,7561
Finasteride,Benign Prostatic Hyperplasia,25,5.0,0.6265,1505
Uroxatral,Benign Prostatic Hyperplasia,18,5.83,0.6253,1146
Flomax,Benign Prostatic Hyperplasia,81,5.37,0.6095,6703
Alfuzosin,Benign Prostatic Hyperplasia,45,5.8,0.6089,1687
Dutasteride / tamsulosin,Benign Prostatic Hyperplasia,18,6.11,0.5763,739
Jalyn,Benign Prostatic Hyperplasia,17,6.0,0.5585,739
Clonazepam,Benzodiazepine Withdrawal,17,6.59,0.7274,394
Ursodiol,Biliary Cirrhosis,7,9.29,0.8238,231
Lisdexamfetamine,Binge Eating Disorde,49,7.69,0.8244,1624
Vyvanse,Binge Eating Disorde,49,7.69,0.8244,1624
Eskalith,Bipolar Disorde,5,9.2,0.9783,223
Armodafinil,Bipolar Disorde,12,9.33,0.9586,388
Zyprexa Zydis,Bipolar Disorde,6,8.17,0.9571,95
Nuvigil,Bipolar Disorde,9,9.44,0.9531,365
Fluoxetine / olanzapine,Bipolar Disorde,30,8.33,0.9009,853
Symbyax,Bipolar Disorde,27,8.3,0.8908,830
Zoloft,Bipolar Disorde,11,7.36,0.8805,232
Clonazepam,Bipolar Disorde,77,8.55,0.8788,2569
Klonopin,Bipolar Disorde,52,8.54,0.8704,2165
Pristiq,Bipolar Disorde,7,7.57,0.8583,139
Effexor,Bipolar Disorde,15,8.27,0.8571,476
Gabapentin,Bipolar Disorde,84,8.39,0.8562,4695
Trileptal,Bipolar Disorde,28,8.36,0.847,1960
Lamotrigine,Bipolar Disorde,549,8.26,0.8431,23294
Lamictal,Bipolar Disorde,388,8.23,0.8422,20928
Lithium,Bipolar Disorde,191,7.61,0.8316,6932
Levetiracetam,Bipolar Disorde,6,7.17,0.8289,58
Tegretol,Bipolar Disorde,38,7.18,0.8191,1850
Lithobid,Bipolar Disorde,14,7.07,0.8185,465
Oxcarbazepine,Bipolar Disorde,100,8.13,0.8165,4259
Seroquel XR,Bipolar Disorde,80,7.46,0.8121,1809
Desvenlafaxine,Bipolar Disorde,11,7.09,0.8119,148
Depakote ER,Bipolar Disorde,29,7.45,0.8104,537
Sertraline,Bipolar Disorde,32,7.28,0.8097,453
Neurontin,Bipolar Disorde,8,7.75,0.8096,641
Iloperidone,Bipolar Disorde,9,8.56,0.8094,75
Citalopram,Bipolar Disorde,8,7.75,0.7998,135
Perphenazine,Bipolar Disorde,7,7.29,0.7946,129
Saphris,Bipolar Disorde,168,7.34,0.7883,5012
Cymbalta,Bipolar Disorde,22,7.0,0.7876,624
Asenapine,Bipolar Disorde,179,7.21,0.7808,5025
Topamax,Bipolar Disorde,47,7.43,0.778,3711
Quetiapine,Bipolar Disorde,396,7.12,0.7678,10509
Epitol,Bipolar Disorde,9,7.89,0.7635,154
Topiramate,Bipolar Disorde,88,7.53,0.7577,4892
Carbamazepine,Bipolar Disorde,81,6.88,0.7545,2348
Duloxetine,Bipolar Disorde,32,6.59,0.7545,837
Seroquel,Bipolar Disorde,244,6.97,0.7527,8335
Effexor XR,Bipolar Disorde,15,6.87,0.7499,352
Zyprexa,Bipolar Disorde,95,6.57,0.7447,3550
Latuda,Bipolar Disorde,349,6.85,0.739,16294
Bupropion,Bipolar Disorde,41,6.9,0.7355,1088
Lurasidone,Bipolar Disorde,376,6.82,0.7354,16301
Olanzapine,Bipolar Disorde,136,6.56,0.7335,3923
Venlafaxine,Bipolar Disorde,51,6.82,0.7258,1059
Lexapro,Bipolar Disorde,25,7.28,0.7253,787
Risperidone,Bipolar Disorde,98,6.5,0.7228,2763
Risperdal,Bipolar Disorde,56,6.59,0.7185,2197
Escitalopram,Bipolar Disorde,33,7.0,0.7099,904
Divalproex sodium,Bipolar Disorde,162,6.4,0.7077,5860
Depakote,Bipolar Disorde,114,6.19,0.6809,5261
Invega,Bipolar Disorde,7,6.29,0.6767,326
Paliperidone,Bipolar Disorde,18,6.67,0.666,374
Vraylar,Bipolar Disorde,63,6.44,0.637,1218
Cariprazine,Bipolar Disorde,67,6.37,0.6362,1224
Aripiprazole,Bipolar Disorde,220,5.88,0.6263,5115
Abilify,Bipolar Disorde,199,5.85,0.6233,5073
Wellbutrin,Bipolar Disorde,9,6.0,0.608,415
Valproic acid,Bipolar Disorde,12,5.83,0.6068,162
Ziprasidone,Bipolar Disorde,163,5.61,0.6004,3793
Geodon,Bipolar Disorde,148,5.5,0.599,3758
Clonidine,Bipolar Disorde,5,7.0,0.566,71
Femcon Fe,Birth Control,8,8.38,0.8877,35
Ortho-Novum 7 / 7 / 7,Birth Control,9,8.67,0.8843,94
Lybrel,Birth Control,13,7.54,0.845,395
Ortho-Novum 1 / 35,Birth Control,5,7.0,0.8161,28
Kyleena,Birth Control,205,7.62,0.8142,460
Ortho Evra,Birth Control,291,7.42,0.7682,3679
Skyla,Birth Control,1074,7.24,0.7637,4080
Levonorgestrel,Birth Control,2884,7.04,0.7321,24088
Copper,Birth Control,800,7.11,0.7242,6079
Mirena,Birth Control,1320,6.98,0.7187,18478
CamreseLo,Birth Control,5,6.2,0.7048,10
Azurette,Birth Control,15,6.87,0.7031,63
Generess Fe,Birth Control,128,6.95,0.7031,1267
Ethinyl estradiol / norelgestromin,Birth Control,508,6.8,0.6995,4700
Trivora,Birth Control,10,7.5,0.6887,50
Natazia,Birth Control,35,6.57,0.687,268
Ethinyl estradiol / etonogestrel,Birth Control,827,6.65,0.6845,7232
NuvaRing,Birth Control,824,6.64,0.6834,7231
ParaGard,Birth Control,508,6.66,0.6807,4038
Loestrin 24 Fe,Birth Control,372,6.51,0.6786,2874
Beyaz,Birth Control,83,6.76,0.6724,1079
Dienogest / estradiol,Birth Control,37,6.51,0.6684,268
Necon 1 / 35,Birth Control,20,6.4,0.6674,217
Ortho Cyclen,Birth Control,43,7.0,0.665,561
Amethia,Birth Control,11,6.36,0.6636,22
Drospirenone / ethinyl estradiol / levomefolate calcium,Birth Control,141,6.48,0.6623,1430
Ortho Tri-Cyclen Lo,Birth Control,236,6.47,0.662,2256
Safyral,Birth Control,54,6.2,0.6581,345
Microgestin 1 / 20,Birth Control,46,6.74,0.658,324
Ortho-Cept,Birth Control,14,7.0,0.6572,52
Lutera,Birth Control,268,6.47,0.6565,2625
Aviane,Birth Control,304,6.57,0.6452,2467
Levora,Birth Control,136,6.23,0.645,1089
Altavera,Birth Control,8,6.0,0.6347,28
Microgestin Fe 1.5 / 30,Birth Control,57,6.28,0.6339,313
Zovia 1 / 35,Birth Control,6,6.5,0.6322,20
Zarah,Birth Control,70,6.4,0.6297,374
Mononessa,Birth Control,145,6.3,0.6262,1180
Velivet,Birth Control,28,5.79,0.6257,110
Ocella,Birth Control,90,6.23,0.6231,460
Ethinyl estradiol / ethynodiol,Birth Control,51,6.12,0.6206,266
Liletta,Birth Control,272,6.06,0.6145,1034
Mono-Linyah,Birth Control,8,6.12,0.6137,59
Implanon,Birth Control,1496,6.18,0.6132,12486
Lyza,Birth Control,55,6.22,0.6101,501
Sprintec,Birth Control,598,6.07,0.6097,5410
Lo Loestrin Fe,Birth Control,896,6.1,0.6077,8676
Balziva,Birth Control,5,6.6,0.6056,6
Xulane,Birth Control,204,6.02,0.605,1015
Cyclafem 1 / 35,Birth Control,10,6.1,0.6016,11
Zovia,Birth Control,41,5.76,0.6005,235
TriNessa,Birth Control,257,6.2,0.5998,2110
Yasmin,Birth Control,114,5.68,0.595,1498
Tri-Sprintec,Birth Control,336,6.1,0.5946,3244
Drospirenone / ethinyl estradiol,Birth Control,685,5.9,0.5889,5706
Seasonique,Birth Control,172,5.84,0.588,1663
Cryselle,Birth Control,99,5.72,0.5867,861
Ortho Micronor,Birth Control,71,6.1,0.5856,1174
Yaz,Birth Control,268,5.83,0.5845,2605
Jolessa,Birth Control,82,5.82,0.5824,503
Sharobel,Birth Control,13,4.77,0.5806,75
Ethinyl estradiol / norgestimate,Birth Control,2097,5.88,0.5774,17766
Microgestin Fe 1 / 20,Birth Control,430,5.83,0.5762,3742
Kariva,Birth Control,73,5.95,0.5742,554
Ethinyl estradiol / levonorgestrel,Birth Control,2107,5.87,0.5716,15357
Gianvi,Birth Control,100,6.0,0.5712,670
Junel 1 / 20,Birth Control,8,5.88,0.5708,6
Ethinyl estradiol / norgestrel,Birth Control,159,5.63,0.5706,1281
Seasonale,Birth Control,24,5.46,0.5674,153
TriNessa Lo,Birth Control,9,4.78,0.5631,16
Ethinyl estradiol / norethindrone,Birth Control,3081,5.65,0.5622,24293
Reclipsen,Birth Control,135,5.93,0.5598,815
Quasense,Birth Control,30,5.67,0.5593,142
Etonogestrel,Birth Control,4394,5.83,0.5574,29832
Ethinyl estradiol / folic acid / levonorgestrel,Birth Control,5,6.0,0.5519,12
Lo / Ovral-28,Birth Control,6,5.0,0.5511,25
Jolivette,Birth Control,75,5.4,0.5504,1029
Chateal,Birth Control,140,5.96,0.549,734
Desogen,Birth Control,20,6.1,0.5488,123
Gildess Fe 1.5 / 30,Birth Control,26,5.15,0.5479,258
Desogestrel / ethinyl estradiol,Birth Control,655,5.71,0.5429,3815
Ortho Tri-Cyclen,Birth Control,116,5.75,0.5387,1317
Medroxyprogesterone,Birth Control,656,5.55,0.5363,5315
Depo-Provera,Birth Control,633,5.52,0.5354,5277
Portia,Birth Control,78,5.81,0.5354,405
Apri,Birth Control,273,5.68,0.5343,1762
Nexplanon,Birth Control,2883,5.65,0.5287,17346
LoSeasonique,Birth Control,60,5.47,0.5281,342
Camrese,Birth Control,84,5.39,0.5271,404
Alesse,Birth Control,123,5.55,0.5257,1061
Lessina,Birth Control,14,5.5,0.5252,60
Loryna,Birth Control,21,5.43,0.5247,69
Nikki,Birth Control,6,4.17,0.5213,20
Tri-Linyah,Birth Control,14,4.79,0.5199,50
Norethindrone,Birth Control,437,5.32,0.5184,4792
Sronyx,Birth Control,106,5.8,0.5169,699
Viorele,Birth Control,34,4.79,0.514,170
Loestrin 21 1 / 20,Birth Control,13,5.08,0.5102,68
Junel Fe 1 / 20,Birth Control,228,5.11,0.5083,2130
Aubra,Birth Control,110,5.44,0.5029,319
Minastrin 24 Fe,Birth Control,202,5.09,0.4976,1802
Orsythia,Birth Control,185,5.35,0.4952,1786
Tarina Fe 1 / 20,Birth Control,26,5.08,0.4931,56
Depo-Provera Contraceptive,Birth Control,7,4.71,0.4873,21
Nortrel 1 / 35,Birth Control,14,4.57,0.4849,43
Alyacen 1 / 35,Birth Control,6,4.67,0.4815,12
Junel Fe 1.5 / 30,Birth Control,36,5.03,0.4795,93
Nora-Be,Birth Control,69,4.84,0.4777,928
Previfem,Birth Control,14,4.79,0.4756,46
Marlissa,Birth Control,8,4.38,0.4657,21
Tri-Previfem,Birth Control,112,5.15,0.4563,820
Levlen,Birth Control,11,4.55,0.451,91
Cyclessa,Birth Control,6,5.17,0.442,21
Vienva,Birth Control,13,4.62,0.4393,37
Camila,Birth Control,30,4.7,0.4349,346
Errin,Birth Control,32,4.97,0.4348,307
Cyred,Birth Control,8,4.5,0.4334,18
Gildess Fe 1 / 20,Birth Control,200,4.57,0.4253,1250
Ogestrel-28,Birth Control,5,4.6,0.4214,7
Ashlyna,Birth Control,23,4.17,0.4181,45
Mircette,Birth Control,11,5.91,0.4135,81
Lo / Ovral,Birth Control,10,4.4,0.409,59
Tri-Lo-Sprintec,Birth Control,61,4.66,0.4074,243
Taytulla,Birth Control,65,4.37,0.4004,224
Falmina,Birth Control,32,4.53,0.3942,130
Tri-Estarylla,Birth Control,9,4.67,0.3562,11
Blisovi Fe 1 / 20,Birth Control,63,3.59,0.3521,125
Pimtrea,Birth Control,5,5.2,0.3447,20
Estarylla,Birth Control,92,3.3,0.3298,424
Blisovi 24 Fe,Birth Control,119,2.98,0.2773,520
Enskyce,Birth Control,5,2.6,0.2372,5
Larin Fe 1 / 20,Birth Control,9,2.11,0.2097,26
Mibelas 24 Fe,Birth Control,9,2.22,0.1754,7
Hiprex,Bladder Infection,8,8.12,0.8104,449
Methenamine,Bladder Infection,9,7.33,0.765,451
Cephalexin,Bladder Infection,36,7.89,0.7453,1658
Keflex,Bladder Infection,7,7.71,0.7355,454
Fosfomycin,Bladder Infection,9,7.0,0.6767,208
Monurol,Bladder Infection,6,7.0,0.6704,173
Ciprofloxacin,Bladder Infection,76,5.59,0.5695,2618
Levaquin,Bladder Infection,7,4.86,0.5493,135
Cipro,Bladder Infection,25,5.2,0.537,1366
Macrobid,Bladder Infection,108,4.91,0.4484,3739
Levofloxacin,Bladder Infection,10,4.0,0.4331,142
Nitrofurantoin,Bladder Infection,193,4.84,0.4308,4568
Tranexamic acid,Bleeding Disorde,6,5.67,0.4772,58
Clindamycin,Bone infection,10,8.1,0.7749,203
Risperdal,Borderline Personality Disorde,5,8.6,0.9387,142
Lamotrigine,Borderline Personality Disorde,22,8.73,0.9187,335
Seroquel,Borderline Personality Disorde,13,7.46,0.8628,561
Lurasidone,Borderline Personality Disorde,7,8.14,0.8526,166
Quetiapine,Borderline Personality Disorde,62,7.47,0.8503,1519
Aripiprazole,Borderline Personality Disorde,11,7.27,0.8135,140
Topiramate,Borderline Personality Disorde,5,6.2,0.7597,20
Olanzapine,Borderline Personality Disorde,17,7.35,0.6684,250
Risperidone,Borderline Personality Disorde,10,5.9,0.6681,179
Sertraline,Borderline Personality Disorde,5,6.2,0.6473,12
GaviLyte-G,Bowel Preparation,11,8.55,0.8547,142
Suprep Bowel Prep Kit,Bowel Preparation,806,7.49,0.7814,12518
Magnesium sulfate / potassium sulfate / sodium sulfate,Bowel Preparation,821,7.43,0.7766,12564
MoviPrep,Bowel Preparation,191,7.13,0.7377,3269
Polyethylene glycol 3350 with electrolytes,Bowel Preparation,273,6.93,0.7279,4190
GoLYTELY,Bowel Preparation,25,6.28,0.7124,503
OsmoPrep,Bowel Preparation,5,6.2,0.6612,128
Citric acid / magnesium oxide / sodium picosulfate,Bowel Preparation,111,6.17,0.6351,887
Prepopik,Bowel Preparation,111,6.17,0.6351,887
Polyethylene glycol 3350,Bowel Preparation,9,4.56,0.6097,195
Sodium biphosphate / sodium phosphate,Bowel Preparation,8,5.62,0.5709,145
GaviLyte-N,Bowel Preparation,6,5.17,0.566,35
MiraLax,Bowel Preparation,7,3.43,0.5315,184
Bisacodyl,Bowel Preparation,50,5.74,0.4953,637
Dulcolax,Bowel Preparation,32,5.41,0.4604,545
Subsys,Breakthrough Pain,6,9.0,0.9155,127
Actiq,Breakthrough Pain,8,8.88,0.9024,309
Fentanyl,Breakthrough Pain,25,8.92,0.8968,797
Fentora,Breakthrough Pain,5,9.6,0.8841,199
Tamoxifen,Breast Cance,36,5.75,0.7108,2123
Femara,Breast Cance,25,6.44,0.6784,3415
Letrozole,Breast Cance,63,6.14,0.6415,5166
Arimidex,Breast Cance,44,5.95,0.5543,4498
Aromasin,Breast Cance,13,5.38,0.5443,929
Anastrozole,Breast Cance,106,5.24,0.5299,7189
Afinitor,Breast Cance,8,5.38,0.5287,159
Everolimus,Breast Cance,8,5.38,0.5287,159
Docetaxel,Breast Cance,5,3.4,0.4837,67
Taxotere,Breast Cance,5,3.4,0.4837,67
Exemestane,Breast Cance,39,4.64,0.4417,1819
Femara,"Breast Cancer, Adjuvant",7,7.0,0.6563,642
Letrozole,"Breast Cancer, Adjuvant",11,5.73,0.6183,776
Halaven,"Breast Cancer, Metastatic",7,9.43,0.9624,406
Eribulin,"Breast Cancer, Metastatic",8,9.5,0.9592,422
Femara,"Breast Cancer, Metastatic",8,7.0,0.7316,917
Faslodex,"Breast Cancer, Metastatic",5,6.4,0.7076,222
Anastrozole,"Breast Cancer, Metastatic",5,6.8,0.7065,146
Ibrance,"Breast Cancer, Metastatic",19,6.63,0.6922,626
Palbociclib,"Breast Cancer, Metastatic",19,6.63,0.6922,626
Letrozole,"Breast Cancer, Metastatic",13,7.15,0.6897,1045
Fulvestrant,"Breast Cancer, Metastatic",6,5.67,0.6624,225
Capecitabine,"Breast Cancer, Metastatic",9,6.33,0.6454,186
Xeloda,"Breast Cancer, Metastatic",7,5.57,0.5691,182
Tamoxifen,"Breast Cancer, Prevention",7,8.29,0.4925,371
Albuterol,Bronchiectasis,7,3.71,0.3415,30
Guaifenesin,Bronchitis,32,7.53,0.7955,1978
Mucinex,Bronchitis,20,7.15,0.7942,1728
Azithromycin Dose Pack,Bronchitis,10,6.7,0.7808,281
Augmentin,Bronchitis,20,7.15,0.686,648
Sulfamethoxazole / trimethoprim,Bronchitis,8,7.0,0.6623,183
Zithromax,Bronchitis,32,6.81,0.6448,1330
Amoxicillin / clavulanate,Bronchitis,30,7.03,0.638,755
Cipro,Bronchitis,9,5.44,0.6379,202
Bactrim,Bronchitis,5,6.6,0.6373,152
Azithromycin,Bronchitis,130,6.49,0.6355,3237
Ciprofloxacin,Bronchitis,13,5.0,0.6333,239
Avelox,Bronchitis,28,6.46,0.603,471
Moxifloxacin,Bronchitis,28,6.46,0.603,471
Biaxin,Bronchitis,20,4.9,0.5625,583
Amoxicillin,Bronchitis,12,6.17,0.558,115
Clarithromycin,Bronchitis,79,5.2,0.5468,1732
Cefuroxime,Bronchitis,6,5.33,0.5441,126
Omnicef,Bronchitis,6,5.17,0.5173,94
Levofloxacin,Bronchitis,77,5.38,0.517,1935
Levaquin,Bronchitis,54,5.26,0.5057,1625
Doxycycline,Bronchitis,24,4.96,0.4644,465
Cefdinir,Bronchitis,25,4.4,0.4017,227
Albuterol,Bronchospasm Prophylaxis,6,3.0,0.4377,64
Fluoxetine,Bulimia,33,8.42,0.898,1355
Prozac,Bulimia,21,8.0,0.8625,1169
Topamax,Bulimia,7,6.86,0.8217,141
Topiramate,Bulimia,10,7.1,0.7991,159
Clonazepam,Burning Mouth Syndrome,15,7.67,0.8332,551
Silvadene,"Burns, External",5,10.0,0.875,178
Silver sulfadiazine,"Burns, External",46,9.83,0.8393,765
Prednisone,Bursitis,6,8.67,0.8506,204
Aclidinium,COPD,7,9.29,0.9407,231
Tudorza Pressair,COPD,7,9.29,0.9407,231
Anoro Ellipta,COPD,17,9.59,0.9342,727
Umeclidinium / vilanterol,COPD,18,9.22,0.9141,727
Prednisone,COPD,5,9.0,0.9111,230
Symbicort,COPD,23,8.09,0.899,1314
Roflumilast,COPD,27,8.37,0.8967,1313
Daliresp,COPD,25,8.24,0.8898,1304
Stiolto Respimat,COPD,9,6.44,0.6998,259
Breo Ellipta,COPD,17,7.06,0.6935,599
Fluticasone / vilanterol,COPD,17,7.06,0.6935,599
Olodaterol / tiotropium,COPD,10,6.2,0.6385,259
Albuterol,"COPD, Acute",9,5.67,0.638,122
Albuterol,"COPD, Maintenance",13,6.85,0.8254,375
Fluticasone / salmeterol,"COPD, Maintenance",23,7.13,0.7912,405
Combivent,"COPD, Maintenance",13,8.77,0.7819,244
Advair Diskus,"COPD, Maintenance",19,6.68,0.7668,384
Spiriva Respimat,"COPD, Maintenance",5,7.4,0.7399,44
Ipratropium,"COPD, Maintenance",5,7.8,0.7299,81
Tiotropium,"COPD, Maintenance",65,6.94,0.7073,3899
Spiriva,"COPD, Maintenance",59,6.88,0.7052,3852
Symbicort,"COPD, Maintenance",11,6.64,0.6787,411
Albuterol / ipratropium,"COPD, Maintenance",25,7.08,0.6725,486
Combivent Respimat,"COPD, Maintenance",8,4.25,0.5261,174
Breo Ellipta,"COPD, Maintenance",5,5.2,0.4795,54
Fluticasone / vilanterol,"COPD, Maintenance",5,5.2,0.4795,54
Daliresp,"COPD, Maintenance",12,4.83,0.4589,431
Roflumilast,"COPD, Maintenance",12,4.83,0.4589,431
Botox,Cervical Dystonia,26,7.54,0.7597,694
OnabotulinumtoxinA,Cervical Dystonia,26,7.54,0.7597,694
Baclofen,Cervical Dystonia,8,5.25,0.7105,151
Doxycycline,Chlamydia Infection,32,7.41,0.7388,424
Azithromycin,Chlamydia Infection,326,7.62,0.7152,2337
Zithromax,Chlamydia Infection,10,7.3,0.7014,159
Lisdexamfetamine,Chronic Fatigue Syndrome,7,9.71,0.9735,265
Armodafinil,Chronic Fatigue Syndrome,32,7.62,0.8538,1471
Nuvigil,Chronic Fatigue Syndrome,27,7.63,0.8485,1397
Provigil,Chronic Fatigue Syndrome,6,7.33,0.795,355
Modafinil,Chronic Fatigue Syndrome,28,7.0,0.7779,999
Cymbalta,Chronic Fatigue Syndrome,5,4.8,0.4509,85
Duloxetine,Chronic Fatigue Syndrome,5,4.8,0.4509,85
Plecanatide,Chronic Idiopathic Constipation,41,7.56,0.7833,953
Trulance,Chronic Idiopathic Constipation,41,7.56,0.7833,953
Rituximab,Chronic Lymphocytic Leukemia,5,9.4,0.9359,147
Ibrutinib,Chronic Lymphocytic Leukemia,13,6.38,0.5537,171
Imbruvica,Chronic Lymphocytic Leukemia,10,5.6,0.4668,133
Sprycel,Chronic Myelogenous Leukemia,10,8.7,0.8951,150
Imatinib,Chronic Myelogenous Leukemia,23,9.04,0.8912,582
Gleevec,Chronic Myelogenous Leukemia,20,8.95,0.8876,559
Tasigna,Chronic Myelogenous Leukemia,16,7.62,0.8621,334
Dasatinib,Chronic Myelogenous Leukemia,13,8.69,0.8393,156
Nilotinib,Chronic Myelogenous Leukemia,22,7.95,0.8188,362
Cyclobenzaprine,Chronic Myofascial Pain,6,5.0,0.6011,77
Dolophine,Chronic Pain,5,9.4,0.9644,264
Methadone Diskets,Chronic Pain,8,9.5,0.9504,459
Percocet,Chronic Pain,23,8.78,0.9283,1372
Endocet,Chronic Pain,8,8.75,0.9003,338
Roxicodone,Chronic Pain,27,9.0,0.8995,1644
Methadone,Chronic Pain,108,8.9,0.8986,6279
Dilaudid,Chronic Pain,48,8.83,0.8873,2738
MS Contin,Chronic Pain,38,7.84,0.8806,1907
Duragesic,Chronic Pain,27,8.44,0.8803,750
Fentanyl Transdermal System,Chronic Pain,43,7.81,0.8623,1785
Fentanyl,Chronic Pain,123,8.09,0.8548,3568
Hydromorphone,Chronic Pain,87,8.49,0.8538,3900
Acetaminophen / oxycodone,Chronic Pain,140,7.99,0.8468,4837
OxyContin,Chronic Pain,67,8.09,0.8431,4226
Exalgo,Chronic Pain,24,8.25,0.8367,1019
Oxycodone,Chronic Pain,245,7.96,0.8348,9517
Kadian,Chronic Pain,13,8.08,0.826,337
Morphine,Chronic Pain,121,7.57,0.8217,3641
Subutex,Chronic Pain,13,8.62,0.8119,567
Subsys,Chronic Pain,6,8.17,0.7991,113
Naloxone / pentazocine,Chronic Pain,5,8.2,0.7887,50
Ultram ER,Chronic Pain,5,7.8,0.7346,96
Butrans,Chronic Pain,84,6.46,0.7142,3106
Ultram ODT,Chronic Pain,6,6.5,0.708,241
Tramadol,Chronic Pain,133,6.0,0.6963,3564
Cymbalta,Chronic Pain,86,6.37,0.6678,4886
Buprenorphine,Chronic Pain,170,5.89,0.6582,4885
Duloxetine,Chronic Pain,95,6.27,0.6575,4910
Xtampza ER,Chronic Pain,15,5.4,0.632,182
Ultram,Chronic Pain,26,5.38,0.6259,1212
Morphine / naltrexone,Chronic Pain,27,4.85,0.5415,571
Embeda,Chronic Pain,24,4.71,0.5242,568
Belbuca,Chronic Pain,47,3.45,0.4734,1070
Roxicet,Chronic Pain,5,5.2,0.4491,86
Creon,Chronic Pancreatitis,6,7.33,0.8312,168
Pancrelipase,Chronic Pancreatitis,10,7.4,0.7869,235
Baclofen,Chronic Spasticity,14,6.79,0.7232,374
Flagyl,Clostridial Infection,5,6.8,0.6172,74
Vancomycin,Clostridial Infection,5,6.0,0.5786,120
Fidaxomicin,Clostridial Infection,6,7.33,0.5463,78
Dificid,Clostridial Infection,5,6.8,0.468,78
Metronidazole,Clostridial Infection,22,5.59,0.4659,224
Cafergot,Cluster Headaches,5,8.8,0.9721,26
Caffeine / ergotamine,Cluster Headaches,5,8.8,0.9721,26
Dihydroergotamine,Cluster Headaches,5,9.2,0.9623,28
Lithium,Cluster Headaches,7,8.57,0.9237,153
Zanaflex,Cluster Headaches,5,7.6,0.9236,271
Verapamil,Cluster Headaches,47,9.11,0.9198,1013
Imitrex,Cluster Headaches,20,8.55,0.8984,299
Sumatriptan,Cluster Headaches,58,8.62,0.8977,485
Indomethacin,Cluster Headaches,8,8.62,0.8955,49
Tizanidine,Cluster Headaches,16,6.88,0.856,585
